idcidade,Municipio,idm_ioibge,Area_MUN,idestado,estado,idmicro,mic_regiao,idmeso,mes_regiao,capital,populacao,fonte,NomeDSEI,StatusDSEI,NumDSEI
BR412460,São Carlos do Ivaí,4124608,225.077,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,6756,IBGE (2015), ,,0
BR412480,São João,4124806,388.059,BR41,PR,BR41027,Pato Branco,BR4107,Sudoeste Paranaense,0,10709,IBGE (2015),Interior Sul,Integral,1
BR412490,São João do Caiuá,4124905,304.413,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,6038,IBGE (2015), ,,0
BR412500,São João do Ivaí,4125001,353.331,BR41,PR,BR41013,Ivaiporã,BR4103,Norte Central Paranaense,0,11228,IBGE (2015), ,,0
BR412520,São Jorge D'Oeste,4125209,379.545,BR41,PR,BR41026,Francisco Beltrão,BR4107,Sudoeste Paranaense,0,9302,IBGE (2015),Interior Sul,Integral,1
BR412530,São Jorge do Ivaí,4125308,315.088,BR41,PR,BR41008,Floraí,BR4103,Norte Central Paranaense,0,5674,IBGE (2015), ,,0
BR412535,São Jorge do Patrocínio,4125357,404.69,BR41,PR,BR41002,Umuarama,BR4101,Noroeste Paranaense,0,6015,IBGE (2015), ,,0
BR412545,São José das Palmeiras,4125456,182.419,BR41,PR,BR41022,Toledo,BR4106,Oeste Paranaense,0,3847,IBGE (2015),Interior Sul,Integral,1
BR412555,São Manoel do Paraná,4125555,95.381,BR41,PR,BR41003,Cianorte,BR4101,Noroeste Paranaense,0,2180,IBGE (2015), ,,0
BR412570,São Miguel do Iguaçu,4125704,851.917,BR41,PR,BR41024,Foz do Iguaçu,BR4106,Oeste Paranaense,0,27197,IBGE (2015),Interior Sul,Integral,1
BR412575,São Pedro do Iguaçu,4125753,308.324,BR41,PR,BR41022,Toledo,BR4106,Oeste Paranaense,0,6388,IBGE (2015),Interior Sul,Integral,1
BR412580,São Pedro do Ivaí,4125803,322.692,BR41,PR,BR41013,Ivaiporã,BR4103,Norte Central Paranaense,0,10799,IBGE (2015), ,,0
BR412590,São Pedro do Paraná,4125902,250.654,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,2474,IBGE (2015), ,,0
BR412610,São Tomé,4126108,218.623,BR41,PR,BR41003,Cianorte,BR4101,Noroeste Paranaense,0,5657,IBGE (2015), ,,0
BR412625,Sarandi,4126256,103.463,BR41,PR,BR41009,Maringá,BR4103,Norte Central Paranaense,0,90376,IBGE (2015), ,,0
BR412627,Saudade do Iguaçu,4126272,152.085,BR41,PR,BR41027,Pato Branco,BR4107,Sudoeste Paranaense,0,5372,IBGE (2015),Interior Sul,Integral,1
BR412635,Serranópolis do Iguaçu,4126355,482.394,BR41,PR,BR41024,Foz do Iguaçu,BR4106,Oeste Paranaense,0,4652,IBGE (2015),Interior Sul,Integral,1
BR412665,Sulina,4126652,170.759,BR41,PR,BR41027,Pato Branco,BR4107,Sudoeste Paranaense,0,3293,IBGE (2015),Interior Sul,Integral,1
BR412670,Tamboara,4126702,193.347,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,4991,IBGE (2015), ,,0
BR412680,Tapejara,4126801,591.399,BR41,PR,BR41003,Cianorte,BR4101,Noroeste Paranaense,0,15704,IBGE (2015), ,,0
